ss,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,trans_num,trans_date,trans_time,categoty,amt,customer_device,customer_payment_method,customer_card_number,customer_transaction_id,merch_name,merch_id,merch_url,merch_transaction_ip,mercj_lat,merch_long,isfraud
990490278,David,Smith,F,9898 1st Ave,Dallas,CA,66626,40.041156,-92.896851,266970,Analyst,1970-07-16,742967175655,6005d2b9-8ec3-40b2-a184-fa135fd5f620,2024-09-17,06:05:49,gas,88.62,web,debit_card,**** **** **** 8087,6f57f360-41c4-4e3d-b9f2-406a0fdd0388,Starbucks,M17104,https://www.starbucks.com,49.133.93.160,44.646236,-89.512371,0
808613171,Priya,Smith,M,8041 2nd St,Miami,GA,13783,34.893461,-122.258009,2057372,Teacher,1977-11-17,274846773782,6a52571b-222c-4f3c-a0a7-acc57c673f2c,2024-05-28,23:16:50,electronics,1847.64,pos,wallet,**** **** **** 7278,32e1660d-aaa9-43d9-9a17-d477ef8c24a6,Shell,M55236,https://www.shell.com,86.142.196.140,43.490276,-82.145577,1
028951718,Priya,Nguyen,F,815 Pine St,Seattle,IL,71993,45.602221,-118.919923,3288663,Teacher,1994-06-09,702621745961,80b1bcfb-0ca9-4015-9aaf-b98c2f600c2f,2024-11-26,19:01:40,restaurant,171.94,pos,debit_card,**** **** **** 1724,5fabe1df-0eef-4c5a-83fe-eff486b9eae5,Amazon,M16028,https://www.amazon.com,84.204.15.76,29.985212,-90.453444,0
747407482,David,Nguyen,M,1393 Maple Ave,Austin,TX,91226,42.012092,-85.429062,4941876,Teacher,1970-10-31,175946474367,622bae20-45b7-44f6-9de5-05ee4c796a52,2024-02-11,10:04:49,electronics,793.66,web,wallet,**** **** **** 9533,6c319cb0-19a1-49a0-a208-b6d099fb72a6,Costco,M42850,https://www.costco.com,174.194.185.197,33.8018,-92.330682,0
285884247,John,Smith,F,6077 Main St,New York,PA,21813,39.870667,-122.643699,3535492,Teacher,1968-01-06,451712368516,e8024c12-ae50-4372-b0cc-fd49ac92b378,2024-01-06,09:43:52,travel,2192.63,web,debit_card,**** **** **** 3174,dc22e0cf-3bea-4d31-8792-ad5f50f735b7,Starbucks,M25292,https://www.starbucks.com,36.12.243.10,44.374989,-89.592041,1
964053773,Luis,Kumar,F,8950 Maple Ave,Dallas,MA,86983,40.04425,-93.076527,3530303,Analyst,1993-11-25,515850643171,7928acf2-0abf-4b1b-a5e9-5866a711d6f9,2024-09-14,09:27:08,electronics,1301.32,pos,credit_card,**** **** **** 5290,cb79de97-f09e-4119-bad8-28054d1627a6,Uber,M28964,https://www.uber.com,253.34.139.65,47.195009,-105.048155,1
177589178,Akhil,Doe,F,5404 1st Ave,Seattle,PA,32838,45.426277,-119.193784,3581273,Clerk,1960-03-13,390847007661,e948821d-fe9b-41f5-9116-a57062b426a6,2024-07-09,09:38:12,pharmacy,26.68,mobile,debit_card,**** **** **** 4789,678f4028-9bea-4f6b-9929-02f6fa9cfee2,Starbucks,M22999,https://www.starbucks.com,204.180.30.219,44.585198,-89.360992,0
527111161,Priya,Garcia,F,5653 Cedar Rd,Seattle,IL,62262,45.486526,-119.206453,3629955,Developer,1972-11-13,528098851656,739c4ef0-9261-425b-a766-acaf9a063a66,2024-12-03,03:12:18,grocery,116.52,pos,debit_card,**** **** **** 1493,5bea1cd6-561b-4b9d-92da-0587aaa597a3,Starbucks,M83526,https://www.starbucks.com,250.197.210.160,44.560514,-89.501997,1
201836675,Michael,Doe,M,5667 Pine St,Miami,FL,10800,34.576764,-122.444257,5564206,Cashier,1956-03-30,254599102290,0459c7ed-1caf-4d32-9b9c-468905082e6f,2024-09-18,17:50:37,gas,41.77,pos,debit_card,**** **** **** 9784,614cb7e0-e9c9-4721-bc52-f46a9ab5f0f6,Amazon,M38903,https://www.amazon.com,102.253.154.15,29.774746,-90.531004,0
851606071,Akhil,Smith,F,226 Cedar Rd,Boston,CA,66446,29.898951,-95.242666,5952822,Nurse,1994-11-18,596966416052,e9dd1881-792f-4c1f-9419-e90c3f1c1777,2024-11-07,04:51:49,pharmacy,250.45,web,credit_card,**** **** **** 5218,f62bf7c9-7745-4830-aacd-6ca446bc3fc0,Walmart,M79547,https://www.walmart.com,131.50.232.199,43.526526,-123.493144,0
799799552,Akhil,Patel,M,3332 Main St,Austin,FL,88957,41.799986,-85.324468,682109,Teacher,1994-05-01,717744905814,6e5bac03-e2b5-4c31-8245-408e35882f78,2024-06-28,07:45:06,pharmacy,16.09,web,debit_card,**** **** **** 3597,17b77ba6-46d7-4512-a904-24f32b80f46c,Delta,M29773,https://www.delta.com,246.16.116.27,37.519826,-68.329975,0
659051518,Jane,Lee,M,7272 Cedar Rd,New York,WA,78690,39.715915,-122.710889,3177709,Manager,1984-10-03,644925192546,8abcbdfa-f79f-44df-96b3-22008c1c5d90,2024-02-20,01:54:59,gas,44.77,web,wallet,**** **** **** 5733,d92aa58c-3ffd-4ac5-b1ab-c52c68dcd721,Target,M30308,https://www.target.com,20.76.217.202,43.294527,-84.043529,0
065379473,Luis,Doe,F,6272 Main St,Austin,PA,31266,41.811176,-85.350991,5290702,Teacher,1989-04-07,834735977468,bb0e3e07-a6e5-4619-8e23-7cd12855cec5,2024-07-23,20:16:53,utilities,387.52,mobile,wallet,**** **** **** 4782,c0cc5731-37f7-493a-a176-b9106b586146,Starbucks,M22021,https://www.starbucks.com,243.234.57.210,44.463047,-89.677865,1
204727790,John,Garcia,F,1437 Pine St,Seattle,IL,39430,45.331405,-118.872157,7089520,Developer,1963-02-07,104328986143,ba3653ce-ebe1-434a-ba53-c06fb85f9ecd,2024-04-26,22:55:57,gas,23.82,web,wallet,**** **** **** 4609,6cfed862-4247-4474-b518-ff0c3c6b04a0,DoorDash,M41531,https://www.doordash.com,147.107.48.171,27.234083,-118.473076,0
319520585,Luis,Lee,M,813 Maple Ave,Chicago,GA,58929,25.511787,-112.859757,6664585,Analyst,1980-12-07,277221704303,f99f35bf-2b69-4956-acc4-9fcbca0e18e9,2024-12-10,00:09:53,grocery,44.72,web,wallet,**** **** **** 5667,392824b6-2d88-4b19-918b-994682cc3434,Starbucks,M54438,https://www.starbucks.com,250.48.128.178,44.490884,-89.33303,0
962757059,Jane,Garcia,M,3056 Oak St,Chicago,PA,52101,25.451366,-112.735086,2530007,Manager,1990-01-02,640165820297,bb57e86e-1260-4c44-847a-6176fe2b4b16,2024-01-14,12:20:59,online_purchase,31.56,pos,debit_card,**** **** **** 2856,98493924-c771-4365-b9f3-96ea68e6091f,DoorDash,M95139,https://www.doordash.com,72.64.246.30,26.848702,-118.675538,0
715518844,Luis,Sharma,F,3615 Oak St,Miami,GA,74382,34.584273,-122.447267,671193,Consultant,1965-06-28,225831323705,d87cae97-a4ba-4677-a9ed-06cc12a3a3c4,2024-08-03,03:51:14,restaurant,98.81,pos,credit_card,**** **** **** 5177,70383e92-a716-40f5-a97a-79177b554d62,Delta,M55156,https://www.delta.com,33.225.213.200,37.364028,-68.479729,0
414384249,Akhil,Garcia,M,2607 Oak St,San Francisco,NJ,31581,31.190461,-111.103093,1941381,Developer,1996-07-21,818299229959,b253ac07-3f20-4feb-9652-b35a7ef1a920,2024-01-16,23:57:31,grocery,18.93,pos,wallet,**** **** **** 6471,5a287fb9-7632-4c76-b4ac-cd201089fd39,Amazon,M30719,https://www.amazon.com,113.107.124.119,29.892548,-90.34786,0
104696325,Sara,Brown,F,8537 2nd St,Austin,MA,51827,41.835533,-85.57912,3821484,Nurse,1962-08-22,953278774701,0c355328-8bf5-41a5-a8a5-412336f87d27,2024-06-01,17:16:58,pharmacy,290.17,mobile,wallet,**** **** **** 2456,aa3a2ea0-8212-4cf8-be6d-a757bb5ed909,DoorDash,M15930,https://www.doordash.com,103.14.146.144,26.949947,-118.455233,0
398680002,Luis,Singh,F,1684 Maple Ave,San Francisco,TX,58915,31.443633,-111.341354,7926471,Developer,1962-12-11,578729825952,c7ffad77-bc10-47e3-9a27-286a43e8e545,2024-06-01,14:36:07,travel,2415.53,pos,wallet,**** **** **** 0974,514ba9b6-7ccb-412b-8629-0238a2472c25,Costco,M85711,https://www.costco.com,59.185.14.150,33.69456,-92.519145,1
897028385,David,Kumar,M,1900 Park Ave,New York,PA,12482,39.683231,-122.606875,3514160,Nurse,1986-10-26,786527858549,858e4953-d3ea-4210-b955-7186c00ed20c,2024-07-07,00:53:08,electronics,1916.81,web,wallet,**** **** **** 1986,a3d77307-ee8d-4f20-87d5-e47a0d9919ea,Starbucks,M55237,https://www.starbucks.com,245.198.206.38,44.366642,-89.715038,1
308330165,Anita,Smith,F,8924 Oak St,Seattle,WA,83664,45.598599,-119.189578,5214673,Designer,1971-06-20,712082677345,67b0b1bd-185b-42d0-ac09-4f89cd367ae6,2024-04-20,20:15:49,grocery,109.87,mobile,wallet,**** **** **** 0049,48ddf8f7-8521-4d5f-97ed-45e288caa287,Costco,M24064,https://www.costco.com,238.252.86.73,33.6789,-92.448897,0
549329668,Akhil,Lee,F,1945 Pine St,Miami,WA,31298,34.79665,-122.242244,6078038,Teacher,1951-04-07,516122753046,aa3dc6f1-59fd-4c9d-9cdb-dc4c8a9e5fba,2024-04-01,11:13:01,pharmacy,227.36,web,debit_card,**** **** **** 8414,25aca7b9-1539-4151-bbab-de7ee4495f0a,DoorDash,M90560,https://www.doordash.com,57.57.246.35,27.120063,-118.51418,0
088398225,Sara,Garcia,F,9861 2nd St,Seattle,WA,78879,45.498829,-118.962981,705173,Designer,1960-01-25,871397187072,71479961-5757-4c76-b51b-8b9714b2c31c,2024-07-18,07:48:59,utilities,199.02,mobile,wallet,**** **** **** 1801,bcc8c85c-3a7e-4d66-8aeb-aabdb14640dc,Shell,M14159,https://www.shell.com,74.105.47.197,43.345207,-82.320373,0
286823004,David,Brown,F,6254 2nd St,Dallas,IL,99486,40.133,-92.788515,1165599,Developer,1960-08-23,786863375243,1ff0d622-172c-4d9c-8217-3c57a7f2ecad,2024-12-30,01:17:52,gas,22.58,pos,debit_card,**** **** **** 0673,92a55ca4-ddd2-4199-99c4-bf6b57175ba6,Delta,M38477,https://www.delta.com,194.222.199.15,37.117327,-68.236311,0
870568566,Mei,Brown,F,2447 Park Ave,Seattle,FL,64206,45.44033,-119.220104,5013263,Teacher,1988-04-29,246287334270,a9ddd933-bb5b-413f-b402-68e618d86cfb,2024-08-06,09:49:01,utilities,388.08,pos,wallet,**** **** **** 0469,88de1190-9d7f-421f-ba3f-4d382e3dc210,Costco,M15183,https://www.costco.com,224.19.49.206,33.863309,-92.399101,0
363854678,Anita,Patel,F,3570 Park Ave,Miami,NY,25376,34.802954,-122.199826,7720889,Nurse,2004-03-23,544587717535,aa1a66fc-07e5-41d1-ba96-0da45fb21c4a,2024-05-01,12:38:40,utilities,46.91,mobile,wallet,**** **** **** 6937,709969c0-9927-4756-9d2c-ea1babc369de,Delta,M95800,https://www.delta.com,242.176.87.66,37.491262,-68.539228,0
010062312,Anita,Singh,M,2393 Cedar Rd,Boston,TX,34123,30.195433,-95.177894,5433887,Engineer,1997-01-02,038750997700,c02d7321-1443-405f-ba71-a61ed8eb1f00,2024-07-25,16:34:47,utilities,34.38,pos,wallet,**** **** **** 3984,c4ced032-980c-4cf5-863f-672939870bc4,DoorDash,M45038,https://www.doordash.com,204.102.21.96,27.408733,-118.511768,0
765918033,Priya,Smith,M,6740 Maple Ave,New York,CA,59436,39.727897,-122.751941,129273,Teacher,1957-06-02,974014890250,281c6102-c6dc-4df9-a866-db8f4789d849,2024-03-21,10:51:12,online_purchase,302.14,pos,debit_card,**** **** **** 8501,e9b0bfb9-fa39-46d2-b7a4-736e02045715,Starbucks,M40427,https://www.starbucks.com,215.20.88.155,44.653773,-89.314701,0
194311426,Sara,Doe,F,3837 Pine St,Dallas,GA,82487,40.123799,-92.965597,5751693,Designer,1984-02-06,265511047541,f04657a4-9f14-4bc8-a553-30f18bf33dfd,2024-02-21,11:03:17,gas,34.99,web,wallet,**** **** **** 6046,92a4afe8-0e82-4ed3-ad39-9bc87a63dcde,Starbucks,M21101,https://www.starbucks.com,186.231.144.232,44.788008,-89.74197,0
154379937,David,Kumar,M,4497 Cedar Rd,Miami,FL,29127,34.529509,-122.327687,3582462,Manager,1993-06-11,124065965756,e2e64ca2-2100-424d-a0bf-b324265fe9e8,2024-11-12,16:46:56,online_purchase,123.67,pos,wallet,**** **** **** 4651,ed927340-ac59-4db8-b72e-f41470ebb17b,Costco,M36188,https://www.costco.com,152.140.47.175,33.866862,-92.817534,0
179796886,Priya,Singh,F,8280 Main St,San Francisco,IL,93012,31.246807,-111.375915,1343047,Cashier,1983-10-28,805891135290,5cd7790e-ecfb-4c0a-bfc3-cfffec618425,2024-08-06,17:35:36,utilities,387.72,web,debit_card,**** **** **** 5679,62b609bc-18c3-4af9-82b9-022daa8b7531,Delta,M29758,https://www.delta.com,89.7.124.27,37.210505,-68.280072,0
140105123,Akhil,Brown,F,3489 Cedar Rd,Boston,GA,55652,30.019138,-95.219483,5894873,Consultant,1978-08-12,828258673622,b3214df7-7d9a-40da-8c09-c9359ba6b491,2024-09-05,17:41:44,utilities,176.37,pos,wallet,**** **** **** 8255,baaa8331-781f-4a17-927e-9ad1084fd543,BestBuy,M69972,https://www.bestbuy.com,30.68.172.221,32.819452,-114.858119,0
912513412,David,Nguyen,F,5866 Cedar Rd,San Francisco,MA,90918,31.194685,-111.207552,6766031,Manager,2005-02-16,528669296627,0b257b78-7bb0-4c93-9b12-efab32c41892,2024-09-03,19:18:16,online_purchase,224.19,web,debit_card,**** **** **** 8876,2eac9186-e70f-47e4-956d-81fbf2feb308,Shell,M64477,https://www.shell.com,182.216.114.126,43.364302,-82.366049,0
819148580,Priya,Smith,M,8908 Oak St,Miami,WA,32047,34.816498,-122.275298,6530599,Consultant,1999-04-27,783613407451,d79eb5f0-ac9f-42ee-8758-c1c8c87e27cc,2024-06-19,12:25:41,gas,82.05,mobile,credit_card,**** **** **** 8498,fd6506df-6c4b-4477-be9a-dd3cd07db77f,Target,M52421,https://www.target.com,251.181.75.75,43.577484,-83.934616,0
294667116,Jane,Kumar,F,2178 Main St,New York,FL,42725,39.565313,-122.645548,2126639,Cashier,1993-11-29,845775901751,ddbe2b34-0583-400d-831c-236e5acec777,2024-11-05,00:15:20,utilities,110.6,web,credit_card,**** **** **** 0170,de1b5ab5-acd2-4fd5-9d66-4657d7369e5f,Walmart,M30707,https://www.walmart.com,113.117.1.254,43.89172,-123.80818,0
436110371,Akhil,Smith,M,6005 Oak St,Miami,CA,20803,34.65294,-122.140038,1438525,Engineer,1985-07-23,293870051627,450c97a5-4851-497e-9d19-35dc1ef8acd4,2024-01-28,12:10:03,electronics,796.99,pos,credit_card,**** **** **** 9275,96835ff0-5f42-46c4-80fc-55d277a4c3a5,BestBuy,M92323,https://www.bestbuy.com,192.39.236.106,32.895408,-115.172239,0
994043898,Jane,Kumar,M,7135 Pine St,Chicago,MA,28327,25.509442,-112.608406,2131775,Clerk,2003-12-02,364037613791,14e0ac97-5e14-4d9b-b953-049379be6ba3,2024-07-24,03:59:13,grocery,118.56,web,credit_card,**** **** **** 4300,fe7d6c37-a3e2-4567-9f46-c6820cd3f166,Starbucks,M76402,https://www.starbucks.com,74.161.183.129,44.652636,-89.633471,0
691463031,Luis,Lee,M,5177 2nd St,Miami,CA,77017,34.872572,-122.111833,1353397,Clerk,1979-04-25,617990421020,368c2183-3c4d-44ba-807b-a20e8746b476,2024-03-04,15:01:50,pharmacy,286.14,pos,wallet,**** **** **** 4917,456106f0-133b-4f9a-8368-15b955569d71,Shell,M76949,https://www.shell.com,93.15.128.220,43.604082,-82.484675,0
086353654,Jane,Nguyen,M,142 1st Ave,Seattle,NJ,11610,45.417951,-119.055781,3262664,Teacher,1966-01-21,195180238061,3198ee35-d9c8-4ab5-932c-fe6080b5ec15,2024-12-06,14:09:02,pharmacy,260.48,web,debit_card,**** **** **** 5973,3c341d8a-e730-42ea-b757-b3b00dbe6b99,Delta,M42129,https://www.delta.com,39.2.239.105,37.047592,-68.507474,0
103865719,John,Brown,M,1803 Park Ave,Chicago,FL,79443,25.803573,-112.698328,552436,Teacher,1975-02-08,182619906234,6a5cf8c1-adcf-4a95-9f2a-2cb18c1eda16,2024-04-11,08:36:42,restaurant,185.95,web,wallet,**** **** **** 2775,c65f5db2-3c10-48ce-8aab-52b5adbdef70,Starbucks,M25825,https://www.starbucks.com,138.92.247.198,44.316952,-89.702631,0
044206788,Jane,Sharma,M,760 Park Ave,Miami,PA,52964,34.563532,-122.217095,3034186,Cashier,1996-01-25,317121003236,3ccf8d71-e1b9-4346-a598-d89c97979348,2024-05-24,13:31:33,gas,66.59,web,credit_card,**** **** **** 9667,c9591596-8378-440e-a95c-2d52121459b3,Amazon,M60165,https://www.amazon.com,175.110.45.91,29.898964,-90.599565,0
380657875,Akhil,Doe,M,6850 Cedar Rd,Miami,GA,17992,34.539291,-122.348352,3566796,Nurse,1997-03-04,985642059304,33c977c6-795c-4680-b644-c15529a5ca96,2024-01-23,18:06:35,pharmacy,161.18,pos,credit_card,**** **** **** 2395,02b9008c-6a7e-4f45-b7bb-e03f7d234dc9,DoorDash,M87537,https://www.doordash.com,8.181.180.91,27.401689,-118.449003,0
593252500,Priya,Singh,F,721 2nd St,Austin,GA,17362,41.831887,-85.540605,4466170,Consultant,1950-01-23,292185156915,c0f3f4b8-c0eb-4d01-a63a-449a9f50f56d,2024-04-27,04:39:18,restaurant,35.93,mobile,wallet,**** **** **** 4220,5b07a682-4363-4a1d-b6a1-4a2f6a290ffc,Costco,M61327,https://www.costco.com,218.198.248.146,33.425721,-92.472251,0
704331541,Mei,Patel,M,5525 2nd St,Dallas,TX,41194,39.886066,-93.010529,5386721,Analyst,1980-02-14,006762676586,1ed767f4-7b61-40cd-b384-68f81601eedf,2024-02-09,09:22:57,pharmacy,237.68,pos,wallet,**** **** **** 2621,64a188f5-4727-43dc-9dbc-50b1a046c45e,Delta,M22203,https://www.delta.com,87.153.253.158,37.569182,-68.409698,0
443106987,Akhil,Nguyen,F,1759 Pine St,Austin,NY,36941,42.128597,-85.464417,4698231,Clerk,1973-10-19,205061497310,8b08dfcd-9495-4b2a-8cce-005081305361,2024-03-21,08:56:29,online_purchase,257.09,mobile,debit_card,**** **** **** 5270,81da2fc3-2f89-422f-99aa-62d9d17b9eb1,Uber,M67637,https://www.uber.com,120.68.58.215,46.877038,-105.077127,0
374160898,Jane,Sharma,F,3827 1st Ave,Chicago,PA,60738,25.737689,-112.698801,4542220,Consultant,2001-05-19,992172233206,b39401b2-8936-4024-8237-fc6004cd6d05,2024-01-31,10:26:51,utilities,104.71,pos,credit_card,**** **** **** 7099,365c3b41-726f-4734-9c27-f52501938a82,Delta,M64997,https://www.delta.com,29.107.39.38,37.373202,-68.482795,0
246299606,Jane,Sharma,M,5733 Maple Ave,Miami,NJ,44620,34.657419,-122.307324,5158344,Consultant,1953-05-12,530745054447,d6233f7e-c95b-4822-815b-086f9e8aa59e,2024-11-29,07:19:40,gas,97.8,mobile,credit_card,**** **** **** 8508,97caed66-63d3-4b82-a1e0-6fce46995e8e,Target,M18600,https://www.target.com,80.182.130.104,43.315233,-83.995277,0
786103579,John,Kumar,M,4187 1st Ave,Seattle,NY,69827,45.340354,-119.100337,1720253,Manager,1983-01-18,727985524140,91d14fc4-d358-4154-ad6b-7f8b26b99d97,2024-05-30,03:03:11,grocery,27.92,pos,credit_card,**** **** **** 0349,99513153-64c9-42b7-9f2d-9fac787140b6,Uber,M94245,https://www.uber.com,71.109.230.97,47.226853,-104.838712,0
154544432,Michael,Lee,F,8480 Pine St,San Francisco,NY,83591,31.384611,-111.233368,2553797,Analyst,1993-03-21,830965207446,30a71d00-c8b2-4c86-b9db-1ebabfad9cc5,2024-06-06,03:08:06,utilities,302.59,pos,wallet,**** **** **** 4172,5d4bba6d-b04a-4d4f-9789-e45a1819fac3,Uber,M83273,https://www.uber.com,196.234.47.243,47.123728,-104.912732,0
991738168,Sara,Patel,F,6189 Oak St,Chicago,MA,86751,25.527947,-112.525768,3997146,Engineer,2002-05-10,460223569725,138e6d04-5cdd-441f-b74c-b28c2e196f4e,2024-11-30,22:05:38,online_purchase,312.68,web,debit_card,**** **** **** 2966,835dd429-8a93-4198-9e4e-33be87f59016,Starbucks,M66233,https://www.starbucks.com,248.123.99.2,44.215005,-89.767967,0
210447898,John,Brown,M,4176 Park Ave,New York,NY,55134,39.631653,-122.733304,4272292,Designer,1977-06-18,562575326033,7bb637c8-d774-48b1-8329-cbfe17fb46d4,2024-10-09,09:42:16,online_purchase,88.42,mobile,wallet,**** **** **** 1001,c4561bde-491e-4690-b56d-f5a3441cbc96,Starbucks,M68237,https://www.starbucks.com,98.32.141.65,44.477008,-89.79574,0
411739348,John,Smith,F,4523 Main St,San Francisco,NJ,64896,31.457935,-111.435022,6079448,Designer,1960-07-24,356420873753,e33d2a8e-08aa-4b54-be3d-440fb7d66601,2024-01-02,01:31:12,grocery,83.88,mobile,wallet,**** **** **** 0120,61dafd61-339f-4961-bb82-833467b915d7,Uber,M57214,https://www.uber.com,206.174.81.110,47.159025,-105.057112,0
166746762,John,Doe,M,5957 Cedar Rd,Austin,MA,91501,41.846162,-85.334902,3175781,Developer,1966-05-29,120216979729,7613c383-a733-4811-8e34-77bd626532a3,2024-05-27,11:32:01,restaurant,126.16,pos,wallet,**** **** **** 9935,6b958560-17f0-42a8-9f83-f4b0a4ec31e2,Delta,M78564,https://www.delta.com,177.180.159.25,37.292955,-68.39641,0
540838663,David,Kumar,M,8383 Cedar Rd,New York,TX,74990,39.854582,-122.744441,4174242,Developer,1971-08-12,177971775170,49b3f154-0ee0-40b1-9f68-34ecd0ce144c,2024-02-09,20:42:18,utilities,182.57,pos,wallet,**** **** **** 3758,8f695dcc-6ae2-4562-84ce-d7061c354a10,Costco,M88636,https://www.costco.com,122.184.169.94,33.835839,-92.76527,0
493316373,Priya,Doe,F,9073 Pine St,Boston,FL,23935,29.846984,-95.329087,1228173,Cashier,1959-08-06,516091779827,e2c3cb28-5d89-4256-8aa2-cf3d9eaf1656,2024-01-02,16:25:46,grocery,70.85,web,wallet,**** **** **** 6693,efea7ea9-d378-4dde-87b2-5064d0190e21,Uber,M62149,https://www.uber.com,247.88.249.76,46.987608,-105.034088,0
